Unnamed: 0,year,month,toxicity,Full Date,Shifted Scores,label
74,2014,9,0.0538781657814979,2014_9,1.0576820552663868,control
138,2019,4,0.0899630635976791,2019_4,1.0054385238137864,control
14,2009,9,0.1663495302200317,2009_9,52.9297906235776,target
143,2019,12,0.0808610096573829,2019_12,1.0220681599077548,control
68,2013,6,0.0425806120038032,2013_6,0.953706923014473,control
65,2013,3,0.0332186520099639,2013_3,0.8106031254857721,control
92,2015,6,0.0564374588429927,2015_6,0.9432624740514042,control
113,2017,3,0.0830845236778259,2017_3,1.0246241508069935,control
36,2011,11,0.036673367023468,2011_11,0.973733687412364,control
161,2021,3,0.0948809087276458,2021_3,0.931103175973799,control
105,2016,7,0.0766588076949119,2016_7,0.9310466146284132,control
110,2017,9,0.0857773050665855,2017_9,1.077651657330879,control
156,2021,11,0.1115860193967819,2021_11,1.0984582163223429,control
50,2012,9,0.0428816676139831,2012_9,0.9932266898739622,control
104,2016,6,0.0744221210479736,2016_6,0.9708228354419504,control
45,2011,7,0.0286233983933925,2011_7,0.6220795246130976,below target
166,2021,8,0.0969336032867431,2021_8,0.9511736937490464,control
90,2015,4,0.0569881573319435,2015_4,0.9394537431948192,control
137,2019,3,0.0943894684314727,2019_3,1.0492024688442003,control
34,2010,8,0.0401428341865539,2010_8,10.315145556241788,target
88,2015,2,0.0546552501618862,2015_2,0.995024068185234,control
99,2016,10,0.0823511704802513,2016_10,0.980365264321971,control
29,2010,3,0.0758673921227455,2010_3,1.5370518941012614,control
47,2011,12,0.0376626253128051,2011_12,0.93603700009203,control
97,2016,1,0.0605143457651138,2016_1,0.9313521907898156,control
162,2021,4,0.1019016057252883,2021_4,1.0714748096128912,control
149,2020,3,0.0810343697667121,2020_3,0.9058624265013496,control
64,2013,2,0.0410918742418289,2013_2,1.2370120927695485,control
12,2009,11,0.0617377199232578,2009_11,0.597288044575152,below target
155,2020,12,0.0940049663186073,2020_12,1.0078416233164342,control
55,2012,5,0.0438873916864395,2012_5,1.070937934693226,control
150,2020,4,0.0894554927945137,2020_4,0.8470749366131968,control
146,2020,9,0.0921094194054603,2020_9,1.0106690442144923,control
91,2015,5,0.0606609508395195,2015_5,1.0748349072249397,control
33,2010,7,0.0109806815162301,2010_7,0.2735402653733936,below target
118,2017,8,0.0881470292806625,2017_8,1.027626470804107,control
123,2018,10,0.096247486770153,2018_10,1.0226173840029062,control
0,2008,11,0.0034239292144775,2008_11,0.0296812689305669,below target
142,2019,8,0.0899025127291679,2019_8,0.940338786615336,control
131,2018,12,0.0880657061934471,2018_12,0.9868555120737228,control
85,2015,1,0.0578991286456584,2015_1,1.0593516354634562,control
67,2013,5,0.0469311736524105,2013_5,1.102172360703004,control
96,2016,11,0.0840004980564117,2016_11,1.122884101582645,control
49,2012,1,0.0402362570166587,2012_1,1.0596435929844086,control
61,2013,1,0.0399788059294223,2013_1,0.9729126905758534,control
